,borrower_type,credit_score,age,county,income,loan_amount,loan_term_months,interest_rate,default_prob,defaulted,loan_purpose
0,Consumer,841,65,Nairobi,123000.0,111984,13,9.18,0.05409090909090908,0,Medical
1,Consumer,828,47,Nairobi,62000.0,52512,24,9.44,0.06,0,Business
2,Consumer,664,39,Other,72000.0,13480,18,12.72,0.13454545454545452,0,Emergency
3,Consumer,461,22,Nairobi,70000.0,132252,13,16.78,0.2268181818181818,0,Medical
4,Consumer,453,46,Nairobi,113000.0,75829,14,16.94,0.23045454545454544,0,Medical
5,Consumer,569,34,Nakuru,17000.0,66244,11,14.620000000000001,0.17772727272727273,0,Medical
6,SME,805,43,Nairobi,184000.0,722109,50,7.9,0.11227272727272727,0,Inventory
7,Consumer,364,40,Other,58000.0,149911,7,18.72,0.2709090909090909,0,Medical
8,Consumer,759,19,Nakuru,74000.0,80973,18,10.82,0.09136363636363634,0,Medical
9,SME,553,39,Other,482000.0,1995873,59,12.94,0.181,0,Working Capital
10,Consumer,312,48,Other,67000.0,109979,21,19.759999999999998,0.29454545454545455,1,Medical
11,Consumer,544,58,Other,129000.0,99619,13,15.120000000000001,0.1890909090909091,0,Education
12,SME,483,30,Mombasa,306000.0,3016523,36,14.34,0.2000909090909091,1,Equipment
13,SME,442,49,Other,374000.0,990042,52,15.16,0.21127272727272728,0,Equipment
14,Consumer,338,30,Nairobi,12000.0,162790,16,19.240000000000002,0.2827272727272727,1,Emergency
15,Consumer,560,33,Other,22000.0,28478,15,14.8,0.18181818181818182,0,Education
16,Consumer,589,23,Other,38000.0,157375,7,14.22,0.1686363636363636,0,Medical
17,SME,663,59,Other,400000.0,1349803,24,10.74,0.151,0,Equipment
18,Consumer,345,56,Nairobi,120000.0,77341,13,19.1,0.27954545454545454,1,Personal
19,Consumer,381,28,Kisumu,104000.0,137115,10,18.38,0.2631818181818182,0,Business
20,Consumer,350,54,Other,113000.0,22313,10,19.0,0.2772727272727273,0,Education
21,SME,572,54,Nairobi,247000.0,3832414,13,12.56,0.17581818181818182,0,Expansion
22,SME,514,31,Other,488000.0,2305619,13,13.72,0.19163636363636363,0,Working Capital
23,SME,426,32,Kisumu,157000.0,2956302,60,15.48,0.21563636363636363,0,Expansion
24,Consumer,798,35,Other,132000.0,136346,19,10.04,0.07363636363636364,0,Emergency
25,Consumer,314,58,Kisumu,21000.0,142040,20,19.72,0.29363636363636364,0,Business
26,Consumer,733,20,Other,99000.0,189799,13,11.34,0.10318181818181818,0,Education
27,Consumer,593,24,Nakuru,88000.0,128012,15,14.14,0.1668181818181818,1,Business
28,Consumer,846,31,Other,39000.0,101641,12,9.08,0.05181818181818182,0,Emergency
29,Consumer,543,38,Kisumu,25000.0,67092,20,15.14,0.18954545454545452,1,Medical
30,Consumer,332,36,Nakuru,11000.0,21485,20,19.36,0.28545454545454546,0,Emergency
31,Consumer,657,44,Other,126000.0,35417,7,12.86,0.13772727272727273,0,Business
32,SME,518,29,Machakos,339000.0,1828047,59,13.64,0.19054545454545455,0,Inventory
33,Consumer,661,60,Mombasa,145000.0,29069,20,12.78,0.1359090909090909,0,Education
34,Consumer,673,49,Kisumu,75000.0,43596,12,12.54,0.13045454545454543,0,Business
35,Consumer,638,53,Other,123000.0,172708,17,13.24,0.14636363636363636,0,Business
36,SME,818,36,Nakuru,442000.0,4259679,29,7.640000000000001,0.10872727272727273,0,Working Capital
37,SME,346,60,Other,456000.0,4614727,40,17.08,0.23745454545454545,0,Expansion
38,Consumer,629,40,Other,141000.0,98947,20,13.42,0.15045454545454545,1,Education
39,Consumer,485,33,Nakuru,139000.0,5833,11,16.3,0.21590909090909088,1,Medical
40,Consumer,407,29,Nairobi,134000.0,77820,13,17.86,0.25136363636363634,1,Medical
41,Consumer,770,32,Kisumu,131000.0,185338,21,10.6,0.08636363636363636,0,Medical
42,Consumer,682,45,Nairobi,67000.0,68319,7,12.36,0.12636363636363634,0,Medical
